biomesoplenty:alps	Alps	Alps.png	High mountains coated with snow blocks. This was made to resemble the mountain range located in Central Europe.	https://biomesoplenty.fandom.com/wiki/Alps
biomesoplenty:bayou	Bayou	Bayou.png	A flat marsh biome of willow trees with green murky water.	https://biomesoplenty.fandom.com/wiki/Bayou
biomesoplenty:tundra_bog	Bog	Bog.png	The Bog consists of small Oak and Spruce scrubs, as well as Sweet Berry Bushes. Based on a Cranberry Bog.	https://biomesoplenty.fandom.com/wiki/Bog
biomesoplenty:cherry_blossom_grove	Cherry Blossom Grove	Cherry_Blossom_Grove.png	A beautiful and wondrous biome containing lush-coloured grass with Pink and White Cherry Trees.	https://biomesoplenty.fandom.com/wiki/Cherry_Blossom_Grove
biomesoplenty:coniferous_forest	Coniferous Forest	Coniferous_Forest.png	Gigantic fir tree forests with a cool temperature and dull colored grass.	https://biomesoplenty.fandom.com/wiki/Coniferous_Forest
biomesoplenty:crystalline_chasm	Crystalline Chasm	Crystalline_Caverns.png	Nether biome with crystals	
biomesoplenty:dead_forest	Dead Forest	Dead_Forest.png	Dying forest full of sparsely populated trees.	https://biomesoplenty.fandom.com/wiki/Dead_Forest
biomesoplenty:fungal_jungle	Fungal Jungle	Fungal_Jungle.png	Jungles with Giant Glowshrooms and Oak bushes across the ground.	https://biomesoplenty.fandom.com/wiki/Fungal_Jungle
biomesoplenty:grove	Grove	Grove.png	Beautiful Spruce Pear-Shaped trees make up this biome of green grass.	https://biomesoplenty.fandom.com/wiki/Grove
biomesoplenty:highland	Highland	Highland.png	This biome consists of rough, high terrain with cobblestone boulders and lacks trees.	https://biomesoplenty.fandom.com/wiki/Highland
biomesoplenty:jade_cliffs	Jade Cliffs	Jade_Cliffs.png	Twisting jade-coloured mountain cliffs covered with spruce trees, and spruce bushes.	https://biomesoplenty.fandom.com/wiki/Jade_Cliffs
biomesoplenty:lavender_field	Lavender Fields	Lavender_Fields.png	Beautiful fields of lavender and jacaranda trees, with the occasional oak tree	https://biomesoplenty.fandom.com/wiki/Lavender_Fields
biomesoplenty:lush_desert	Lush Desert	Lush_Desert.png	Desert made of orange sand and flourishing, but messy trees. Unlike deserts, lush deserts have more vegetation.	https://biomesoplenty.fandom.com/wiki/Lush_Desert
biomesoplenty:meadow	Meadow	Meadow.png	A grassy biome with a few spruce trees and bushes scattered around.	https://biomesoplenty.fandom.com/wiki/Meadow
biomesoplenty:mystic_grove	Mystic Grove	Mystic_Grove.png	Majestic grove of purple waters and beautiful enchanted trees. It is rare to find, though.	https://biomesoplenty.fandom.com/wiki/Mystic_Grove
biomesoplenty:ominous_woods	Ominous Woods	Ominous_Woods.png	Dark Purple woods with a special sky and water colour. Several dangerous plants can spawn here. Beware	https://biomesoplenty.fandom.com/wiki/Ominous_Woods
biomesoplenty:orchard	Orchard	Orchard.png	Formerly a sub-biome for the plains, it is now fields of large oak trees and bright grass.	https://biomesoplenty.fandom.com/wiki/Orchard
biomesoplenty:prairie	Prairie	Prairie.png	A biome with light-colored grass and several trees scattered.	https://biomesoplenty.fandom.com/wiki/Prairie
biomesoplenty:rainforest	Rainforest	Rainforest.png	A lush biome with many flowering oak trees.	https://biomesoplenty.fandom.com/wiki/Rainforest
biomesoplenty:redwood_forest	Redwood Forest	Redwood_Forest.png	A forest of tall Redwood Trees and lots of ferns. This was made to resemble the Redwood Forests in Northern California.	https://biomesoplenty.fandom.com/wiki/Redwood_Forest
biomesoplenty:seasonal_forest	Seasonal Forest	Seasonal_Forest.png	Forests of tall birch and oak trees with different colored autumn leaves.	https://biomesoplenty.fandom.com/wiki/Seasonal_Forest
biomesoplenty:scrubland	Scrubland	Scrubland.png	Dry Grassland with mixed Acacia and Spruce scrubs	https://biomesoplenty.fandom.com/wiki/Scrubland
biomesoplenty:shrubland	Shrubland	Shrubland.png	A relatively flat biome with oak shrubs and many allium flowers.	https://biomesoplenty.fandom.com/wiki/Shrubland
biomesoplenty:silkglade	Silkglades	Silkglades.png	A rare swampy biome with many patches of cobwebs on ground and trees. The foliage shows its dark, dull color	https://biomesoplenty.fandom.com/wiki/Silkglades
biomesoplenty:snowy_coniferous_forest	Snowy Coniferous Forest	Snowy_Coniferous_Forest.png	Snowy variant of the Coniferous Forest biome.	https://biomesoplenty.fandom.com/wiki/Snowy_Coniferous_Forest
biomesoplenty:tundra	Tundra	Tundra.png	A snowless wasteland of shrubs and cobblestone.	https://biomesoplenty.fandom.com/wiki/Tundra
biomesoplenty:wasteland	Wasteland	Wasteland.png	A hazy biome with pools of murky brown water. Dead trees also appear in this biome. It is an inhospitable place, and not recommended for beginners.	https://biomesoplenty.fandom.com/wiki/Wasteland
biomesoplenty:wetland	Wetland	Wetland.png	Lush swamps with a deep blue water color and willow trees	https://biomesoplenty.fandom.com/wiki/Wetland
biomesoplenty:gravel_beach	Gravel Beach	Gravel_Beach.png	A beach made entirely of gravel, mainly spawns adjacent to Woodland or other temperate biomes	https://biomesoplenty.fandom.com/wiki/Gravel_Beach
biomesoplenty:origin_valley	Origin Hills	Origin_Hills.png	Where it all started: A perfect replica of the original Minecraft Classic, including roses which were removed in vanilla 1.7.	https://biomesoplenty.fandom.com/wiki/Origin Hills
biomesoplenty:rainbow_hills	Rainbow Valley	Rainbow_Valley.png	A beautiful, but extremely rare island biome with Rainbow Birch Trees all over the place.	https://biomesoplenty.fandom.com/wiki/Rainbow_Valley
biomesoplenty:tropics	Tropics	Tropics.png	A rare island biome with palm trees and bright blue skies. Sub-biome of the Ocean.	https://biomesoplenty.fandom.com/wiki/Tropics
biomesoplenty:volcano	Volcano	Volcano.png	A desolate biome with lots of lava. This biome used to generate in large areas, but can only be found as a rare ocean sub-biome island in later versions. It is dangerous, note the lava and steep incline.	https://biomesoplenty.fandom.com/wiki/Volcano
biomesoplenty:visceral_heap	Visceral Heap	Visceral Heap.png	A nether biome that contains bone columns and flesh tendons.	https://biomesoplenty.fandom.com/wiki/Visceral Heap
biomesoplenty:flower_meadow	Flower Field	Flower_Field.png	A vast expanse of flat terrain with tulips on almost every piece of ground. Replaced with Flower Meadow in 1.13.2.	https://biomesoplenty.fandom.com/wiki/Flower Field
biomesoplenty:dryland	Dryland	Dryland.png	Grass and sand	
biomesoplenty:undergrowth	Undergrowth	Undergrowth.png	Nether Biome, some trees	
biomesoplenty:withered_abyss	Withered Abyss	Withered_Abyss.png	Nether biome.  Blackstone and obsidian ground	
biomesoplenty:wooded_wasteland	Wooded Wasteland	Wooded_Wasteand.png	Dried salt ground, sparse dried trees.  Brownish water	
biomesoplenty:alps_foothills	Alps Foothills	Alps_Foothills.png	Similar to a taiga with fewer trees	
biomesoplenty:redwood_forest_edge	Redwood Forest Edge	Redwood_Edge.png	Some shorter redwood trees	
biomesoplenty:tropic_beach	Tropic Beach	Tropic_Beach.png	White sand, blue waters	
biomesoplenty:volcanic_plains	Volcanic Plains	Volcanic_Plains.png	Nether biome? Ash ground, small shrubs, one-high trees	
